ID,050A02,050A01,050A07,050A09,050A11,050A08
1301,0.224,0.262,21.332,1.952,0.02,0.35
1302,0.226,0.26,21.3,1.992,0.014,0.342
1303,0.218,0.26,21.306,1.97,0.08,0.342
1304,0.218,0.27,21.3,1.98,0.082,0.342
1305,0.212,0.276,21.304,2.016,0.068,0.34
1306,0.2,0.29,21.298,2.016,0.05,0.34
1307,0.198,0.292,21.234,2.024,0.09,0.346
1308,0.222,0.316,21.262,2.034,0.094,0.35
1309,0.218,0.322,21.3,2.046,0.12,0.352
1310,0.226,0.336,21.3,2.062,0.316,0.36
1311,0.238,0.356,21.376,2.048,0.49,0.364
1312,0.246,0.374,21.4,2.056,0.318,0.37
1313,0.242,0.37,21.4,2.064,0.154,0.374
1314,0.242,0.362,21.4,2.08,0.088,0.392
1315,0.25,0.372,21.402,1.998,0.098,0.4
1316,0.256,0.388,21.498,2.048,0.098,0.408
1317,0.248,0.38,21.5,2.07,0.096,0.41
1318,0.262,0.404,21.582,2.06,0.086,0.42
1319,0.25,0.372,21.61,2.054,0.116,0.42
1320,0.246,0.376,21.644,2.088,0.076,0.42
1321,0.3,0.448,21.7,2.06,0.072,0.43
1322,0.29,0.452,21.7,2.072,0.072,0.42
1323,0.272,0.356,21.7,2.054,0.068,0.41
1324,0.254,0.302,21.7,2.076,0.058,0.44
1325,0.26,0.31,21.71,2.076,0.068,0.47
1326,0.27,0.312,21.8,2.076,0.05,0.46
1327,0.284,0.32,21.8,2.048,0.04,0.434
1328,0.256,0.3,21.8,2.096,0.038,0.43
1329,0.274,0.314,21.8,2.094,0.05,0.43
1330,0.262,0.314,21.8,2.098,0.06,0.44
1331,0.278,0.326,21.8,2.084,0.062,0.436
1332,0.284,0.35,21.8,2.09,0.054,0.43
1333,0.274,0.35,21.83,2.092,0.07,0.43
1334,0.264,0.324,21.876,2.094,0.064,0.434
1335,0.266,0.328,21.886,2.054,0.008,0.442
1336,0.282,0.342,21.826,2.108,0.022,0.456
1337,0.28,0.344,21.842,2.12,0.07,0.438
1338,0.272,0.34,21.826,2.11,0.012,0.43
1339,0.266,0.336,21.812,2.078,0.034,0.442
1340,0.27,0.334,21.774,2.01,0.048,0.456
1341,0.27,0.336,21.7,1.99,0.038,0.456
1342,0.264,0.328,21.7,1.996,0.004,0.44
1343,0.26,0.33,21.7,1.986,0.016,0.44
1344,0.256,0.326,21.7,2.004,0.012,0.44
1345,0.258,0.32,21.662,2.06,0.002,0.44
1346,0.272,0.332,21.7,2.06,0.024,0.44
1347,0.318,0.374,21.7,2.062,0.022,0.44
1348,0.296,0.352,21.7,2.068,0,0.44
1349,0.298,0.356,21.7,2.062,0.006,0.44
1350,0.308,0.37,21.7,2.078,0.036,0.472
1351,0.328,0.388,21.7,2.084,0.05,0.47
1352,0.33,0.384,21.7,2.064,0.062,0.47
1353,0.324,0.398,21.7,2.072,0.07,0.47
1354,0.35,0.428,21.7,2.084,0.076,0.492
1355,0.34,0.42,21.792,2.07,0.03,0.502
1356,0.36,0.448,21.8,2.084,0.026,0.516
1357,0.35,0.426,21.8,2.094,0.02,0.52
1358,0.328,0.398,21.8,2.082,0.012,0.524
1359,0.332,0.398,21.812,2.046,0.002,0.542
1360,0.416,0.428,21.8,2,0.028,0.544
1361,0.374,0.4,21.75,1.986,0.03,0.496
1362,0.314,0.368,21.7,1.996,0.052,0.47
1363,0.294,0.352,21.7,2.07,0.062,0.498
1364,0.314,0.372,21.7,2.116,0.06,0.496
1365,0.332,0.39,21.7,2.126,0.06,0.472
1366,0.312,0.372,21.712,2.15,0.056,0.44
1367,0.28,0.33,21.796,2.096,0.046,0.448
1368,0.262,0.308,21.756,2.032,0.038,0.468
1369,0.262,0.304,21.7,2.016,0.048,0.462
1370,0.254,0.306,21.7,2.01,0.07,0.424
1371,0.232,0.278,21.7,2.068,0.076,0.4
1372,0.24,0.268,21.7,2.126,0.08,0.406
1373,0.248,0.296,21.7,2.114,0.074,0.42
1374,0.306,0.35,21.7,2.14,0.056,0.398
1375,0.33,0.37,21.7,2.14,0.052,0.372
1376,0.304,0.348,21.706,2.124,0.066,0.386
1377,0.274,0.318,21.772,2.154,0.074,0.43
1378,0.27,0.308,21.8,2.154,0.064,0.462
1379,0.25,0.296,21.8,2.18,0.038,0.45
1380,0.258,0.296,21.8,2.096,0.056,0.426
1381,0.242,0.28,21.726,2.078,0.048,0.406
1382,0.252,0.294,21.7,2.146,0.068,0.386
1383,0.296,0.34,21.7,2.144,0.078,0.38
1384,0.306,0.356,21.704,2.168,0.082,0.38
1385,0.314,0.362,21.708,2.128,0.064,0.392
1386,0.32,0.368,21.798,2.14,0.086,0.426
1387,0.306,0.358,21.8,2.142,0.084,0.45
1388,0.296,0.348,21.83,2.138,0.066,0.456
1389,0.302,0.35,21.9,2.142,0.088,0.46
1390,0.292,0.342,21.9,2.17,0.084,0.46
1391,0.288,0.34,21.9,2.17,0.086,0.452
1392,0.268,0.312,21.9,2.132,0.05,0.448
1393,0.268,0.308,21.9,2.168,0.018,0.44
1394,0.268,0.306,21.9,2.194,0.026,0.434
1395,0.296,0.326,21.9,2.194,0.026,0.416
1396,0.322,0.356,21.9,2.204,0.068,0.398
1397,0.314,0.352,21.9,2.198,0.068,0.392
1398,0.322,0.358,21.94,2.16,0.044,0.408
1399,0.32,0.362,21.984,2.146,0.062,0.432
1400,0.296,0.332,21.9,2.096,0.02,0.44
1401,0.298,0.324,21.9,2.114,0.046,0.442
1402,0.288,0.328,21.9,2.134,0.056,0.456
1403,0.274,0.316,21.9,2.202,0.062,0.43
1404,0.276,0.316,21.9,2.226,0.066,0.42
1405,0.294,0.328,21.9,2.196,0.04,0.42
1406,0.29,0.324,21.9,2.186,0.044,0.404
1407,0.286,0.322,21.9,2.198,0.022,0.396
1408,0.274,0.312,21.9,2.176,0.014,0.41
1409,0.296,0.328,21.9,2.176,0.05,0.41
1410,0.314,0.358,21.904,2.178,0.04,0.4
1411,0.298,0.338,21.906,2.186,0.028,0.4
1412,0.298,0.342,21.9,2.19,0.018,0.406
1413,0.314,0.348,21.902,2.178,0.04,0.428
1414,0.314,0.35,21.904,2.194,0.062,0.42
1415,0.318,0.358,21.9,2.174,0.058,0.42
1416,0.31,0.35,21.9,2.196,0.072,0.432
1417,0.324,0.372,21.9,2.196,0.086,0.44
1418,0.324,0.366,21.9,2.176,0.076,0.448
1419,0.324,0.372,21.9,2.19,0.052,0.47
1420,0.308,0.346,21.9,2.178,0.052,0.476
1421,0.274,0.326,21.914,2.18,0.034,0.478
1422,0.274,0.322,21.9,2.188,0.058,0.468
1423,0.266,0.314,21.9,2.128,0.052,0.428
1424,0.266,0.31,21.9,2.112,0.036,0.402
1425,0.26,0.312,21.9,2.116,0.012,0.39
1426,0.26,0.31,21.89,2.1,0.064,0.386
1427,0.254,0.306,21.8,2.106,0.036,0.372
1428,0.256,0.302,21.8,2.112,0.028,0.37
1429,0.248,0.29,21.8,2.116,0.078,0.37
1430,0.246,0.288,21.71,2.102,0.086,0.37
1431,0.244,0.29,21.7,2.116,0.21,0.366
1432,0.256,0.294,21.7,2.124,0.26,0.36
1433,0.296,0.334,21.7,2.148,0.102,0.36
1434,0.354,0.382,21.7,2.154,0.092,0.36
1435,0.344,0.384,21.7,2.154,0.086,0.36
1436,0.348,0.386,21.75,2.152,0.08,0.392
1437,0.332,0.37,21.786,2.164,0.016,0.454
1438,0.318,0.356,21.8,2.18,0.014,0.47
1439,0.316,0.35,21.8,2.138,0.02,0.468
1440,0.326,0.362,21.8,2.128,0.05,0.456
1441,0.31,0.346,21.824,2.052,0.056,0.436
1442,0.306,0.34,21.8,2.024,0.058,0.43
1443,0.308,0.342,21.798,2.044,0.064,0.432
1444,0.312,0.354,21.744,2.034,0.062,0.426
1445,0.296,0.336,21.7,2.024,0.058,0.42
1446,0.288,0.324,21.7,2.05,0.046,0.418
1447,0.276,0.316,21.7,2.044,0.054,0.416
1448,0.27,0.312,21.7,2.056,0.048,0.402
1449,0.266,0.308,21.7,2.09,0.048,0.4
1450,0.264,0.304,21.7,2.106,0.024,0.39
1451,0.26,0.3,21.67,2.092,0.046,0.39
1452,0.264,0.296,21.6,2.086,0.07,0.382
1453,0.258,0.29,21.6,2.09,0.074,0.38
1454,0.25,0.29,21.6,2.104,0.076,0.372
1455,0.248,0.286,21.546,2.098,0.072,0.37
1456,0.248,0.284,21.502,2.082,0.082,0.37
1457,0.24,0.272,21.5,2.09,0.096,0.37
1458,0.244,0.27,21.5,2.102,0.096,0.366
1459,0.252,0.276,21.5,2.072,0.172,0.36
1460,0.244,0.27,21.446,2.078,0.21,0.36
1461,0.246,0.27,21.402,2.086,0.092,0.354
1462,0.24,0.268,21.4,2.094,0.076,0.35
1463,0.238,0.26,21.4,2.078,0.086,0.346
1464,0.234,0.26,21.4,2.064,0.09,0.34
1465,0.234,0.26,21.4,2.068,0.06,0.34
1466,0.23,0.26,21.4,2.082,0.064,0.34
1467,0.226,0.26,21.4,2.086,0.07,0.338
1468,0.22,0.26,21.4,2.088,0.084,0.33
1469,0.22,0.254,21.4,2.094,0.066,0.33
1470,0.22,0.258,21.384,2.09,0.062,0.33
1471,0.22,0.252,21.302,2.072,0.074,0.33
1472,0.218,0.25,21.3,2.106,0.07,0.33
1473,0.22,0.248,21.3,2.086,0.086,0.33
1474,0.22,0.248,21.29,2.176,0.094,0.33
1475,0.224,0.244,21.3,2.148,0.154,0.32
1476,0.22,0.252,21.3,2.096,0.294,0.32
1477,0.218,0.242,21.3,2.09,0.088,0.32
1478,0.232,0.25,21.3,2.15,0.24,0.32
1479,0.242,0.266,21.3,2.13,0.096,0.326
1480,0.234,0.262,21.314,2.124,0.084,0.32
1481,0.25,0.27,21.364,2.172,0.076,0.324
1482,0.256,0.284,21.4,2.14,0.064,0.34
1483,0.254,0.28,21.4,2.166,0.064,0.336
1484,0.258,0.288,21.4,2.13,0.08,0.344
1485,0.27,0.3,21.4,2.162,0.09,0.358
1486,0.282,0.312,21.4,2.178,0.072,0.36
1487,0.28,0.308,21.4,2.186,0.088,0.366
1488,0.294,0.318,21.41,2.174,0.062,0.374
1489,0.276,0.308,21.5,2.168,0.072,0.39
1490,0.262,0.29,21.5,2.154,0.09,0.39
1491,0.274,0.302,21.5,2.168,0.06,0.394
1492,0.306,0.334,21.574,2.156,0.06,0.394
1493,0.304,0.336,21.6,2.152,0.076,0.374
1494,0.28,0.312,21.6,2.174,0.08,0.376
1495,0.296,0.326,21.654,2.156,0.09,0.402
1496,0.272,0.308,21.7,2.144,0.074,0.418
1497,0.284,0.318,21.7,2.144,0.054,0.398
1498,0.288,0.322,21.7,2.134,0.072,0.4
1499,0.294,0.33,21.7,2.15,0.058,0.394
1500,0.27,0.302,21.7,2.17,0.072,0.394
1501,0.26,0.29,21.7,2.134,0.076,0.4
1502,0.264,0.292,21.7,2.116,0.068,0.406
1503,0.282,0.306,21.7,2.164,0.082,0.382
1504,0.318,0.338,21.7,2.152,0.08,0.368
1505,0.306,0.328,21.7,2.142,0.076,0.366
1506,0.32,0.346,21.7,2.148,0.066,0.382
1507,0.33,0.352,21.7,2.164,0.068,0.408
1508,0.344,0.372,21.7,2.13,0.082,0.412
1509,0.338,0.368,21.7,2.12,0.078,0.424
1510,0.324,0.348,21.7,2.15,0.062,0.432
1511,0.3,0.328,21.7,2.146,0.042,0.444
1512,0.314,0.348,21.7,2.172,0.026,0.446
1513,0.326,0.352,21.7,2.13,0.066,0.434
1514,0.282,0.314,21.7,2.144,0.062,0.414
1515,0.26,0.284,21.704,2.142,0.082,0.418
1516,0.256,0.282,21.7,2.192,0.054,0.42
1517,0.248,0.276,21.7,2.156,0.074,0.396
1518,0.246,0.27,21.7,2.072,0.076,0.364
1519,0.26,0.284,21.7,2.08,0.072,0.36
1520,0.25,0.278,21.7,2.172,0.074,0.36
1521,0.274,0.3,21.7,2.17,0.086,0.358
1522,0.292,0.328,21.7,2.14,0.092,0.36
1523,0.276,0.308,21.7,2.124,0.096,0.36
1524,0.28,0.304,21.7,2.128,0.088,0.374
1525,0.306,0.33,21.7,2.166,0.086,0.402
1526,0.318,0.346,21.7,2.134,0.222,0.402
1527,0.326,0.354,21.7,2.114,0.09,0.398
1528,0.314,0.344,21.7,2.138,0.064,0.412
1529,0.294,0.322,21.7,2.054,0.092,0.428
1530,0.292,0.316,21.7,2.126,0.256,0.44
1531,0.306,0.33,21.7,2.13,0.124,0.434
1532,0.288,0.32,21.7,2.162,0.082,0.418
1533,0.278,0.31,21.7,2.164,0.07,0.4
1534,0.284,0.314,21.7,2.134,0.044,0.414
1535,0.294,0.32,21.7,2.122,0.064,0.406
1536,0.28,0.308,21.7,2.106,0.072,0.4
1537,0.262,0.29,21.7,2.066,0.074,0.4
1538,0.264,0.294,21.7,1.988,0.074,0.402
1539,0.268,0.296,21.7,2.08,0.06,0.402
1540,0.262,0.29,21.7,2.09,0.072,0.38
1541,0.256,0.288,21.7,2.046,0.082,0.374
1542,0.24,0.27,21.7,2.052,0.098,0.38
1543,0.25,0.27,21.692,2.132,0.334,0.376
1544,0.242,0.27,21.7,2.128,0.304,0.376
1545,0.242,0.266,21.7,2.116,0.164,0.36
1546,0.246,0.27,21.7,2.078,0.074,0.36
1547,0.244,0.27,21.622,2.054,0.054,0.358
1548,0.242,0.268,21.6,2.074,0.064,0.35
1549,0.238,0.314,21.6,2.046,0.08,0.356
1550,0.24,0.336,21.552,2.044,0.17,0.36
1551,0.242,0.324,21.5,2.066,0.078,0.36
1552,0.234,0.312,21.5,2.078,0.082,0.36
1553,0.23,0.304,21.5,2.06,0.09,0.36
1554,0.24,0.342,21.5,2.082,0.11,0.36
1555,0.248,0.376,21.46,2.072,0.222,0.362
1556,0.24,0.296,21.4,2.082,0.126,0.382
1557,0.264,0.328,21.4,2.122,0.086,0.394
1558,0.254,0.328,21.4,2.102,0.238,0.406
1559,0.234,0.318,21.4,2.15,0.102,0.414
1560,0.216,0.298,21.4,2.132,0.086,0.428
1561,0.21,0.304,21.4,2.268,0.088,0.422
1562,0.214,0.292,21.4,2.336,0.084,0.4
1563,0.214,0.292,21.4,2.266,0.084,0.394
1564,0.218,0.292,21.366,2.354,0.158,0.39
1565,0.222,0.282,21.3,2.378,0.272,0.388
1566,0.268,0.336,21.346,2.464,0.222,0.376
1567,0.276,0.354,21.4,2.418,0.272,0.37
1568,0.274,0.342,21.4,2.376,0.302,0.368
1569,0.298,0.374,21.4,2.38,0.298,0.412
1570,0.326,0.412,21.4,2.386,0.182,0.44
1571,0.328,0.41,21.4,2.434,0.088,0.444
1572,0.346,0.404,21.404,2.4,0.078,0.48
1573,0.272,0.316,21.49,2.444,0.054,0.518
1574,0.266,0.308,21.462,2.43,0.064,0.526
1575,0.242,0.292,21.4,2.424,0.078,0.496
1576,0.24,0.286,21.4,2.38,0.086,0.398
1577,0.236,0.288,21.4,2.36,0.088,0.37
1578,0.238,0.306,21.4,2.362,0.086,0.362
1579,0.236,0.304,21.4,2.348,0.07,0.356
1580,0.24,0.294,21.4,2.364,0.076,0.35
1581,0.242,0.302,21.4,2.338,0.072,0.352
1582,0.256,0.318,21.4,2.338,0.076,0.354
1583,0.27,0.306,21.4,2.366,0.04,0.35
1584,0.238,0.28,21.4,2.406,0.046,0.358
1585,0.21,0.264,21.4,2.404,0.074,0.388
1586,0.216,0.268,21.4,2.382,0.094,0.384
1587,0.218,0.268,21.4,2.364,0.082,0.358
1588,0.222,0.282,21.4,2.372,0.092,0.34
1589,0.238,0.296,21.4,2.304,0.09,0.344
1590,0.224,0.28,21.4,2.292,0.158,0.34
1591,0.236,0.272,21.4,2.276,0.1,0.344
1592,0.236,0.266,21.304,2.374,0.098,0.36
1593,0.26,0.274,21.302,2.374,0.098,0.36
1594,0.248,0.262,21.374,2.392,0.108,0.358
1595,0.228,0.26,21.4,2.372,0.248,0.354
1596,0.258,0.28,21.4,2.394,0.22,0.344
1597,0.256,0.29,21.4,2.398,0.116,0.33
1598,0.266,0.3,21.4,2.4,0.056,0.33
1599,0.272,0.308,21.4,2.358,0.056,0.346
1600,0.302,0.316,21.4,2.364,0.068,0.358
1601,0.304,0.316,21.4,2.382,0.052,0.366
1602,0.286,0.304,21.4,2.376,0.064,0.378
1603,0.254,0.28,21.4,2.406,0.068,0.38
1604,0.242,0.268,21.4,2.342,0.058,0.38
1605,0.254,0.276,21.4,2.366,0.086,0.366
1606,0.26,0.294,21.4,2.358,0.158,0.344
1607,0.262,0.296,21.4,2.4,0.31,0.34
1608,0.262,0.296,21.41,2.368,0.09,0.34
1609,0.268,0.308,21.42,2.404,0.094,0.352
1610,0.264,0.304,21.5,2.37,0.098,0.36
1611,0.254,0.29,21.5,2.384,0.088,0.36
1612,0.27,0.304,21.5,2.44,0.076,0.362
1613,0.268,0.316,21.5,2.412,0.05,0.36
1614,0.26,0.31,21.542,2.378,0.064,0.36
1615,0.26,0.302,21.596,2.408,0.076,0.366
1616,0.262,0.296,21.502,2.402,0.092,0.37
1617,0.262,0.31,21.5,2.412,0.08,0.36
1618,0.264,0.306,21.51,2.404,0.072,0.36
1619,0.262,0.304,21.564,2.368,0.074,0.362
1620,0.252,0.292,21.6,2.404,0.076,0.37
1621,0.266,0.302,21.6,2.402,0.066,0.37
1622,0.278,0.324,21.614,2.424,0.044,0.364
1623,0.268,0.316,21.678,2.418,0.054,0.354
1624,0.26,0.298,21.618,2.41,0.062,0.364
1625,0.256,0.292,21.6,2.386,0.082,0.384
1626,0.26,0.3,21.6,2.394,0.076,0.37
1627,0.266,0.322,21.6,2.38,0.074,0.36
1628,0.26,0.32,21.6,2.368,0.082,0.36
1629,0.248,0.302,21.6,2.368,0.07,0.366
1630,0.248,0.298,21.552,2.212,0.08,0.388
1631,0.236,0.29,21.5,2.208,0.086,0.38
1632,0.232,0.282,21.5,2.204,0.082,0.362
1633,0.228,0.28,21.418,2.2,0.086,0.358
1634,0.23,0.278,21.4,2.214,0.062,0.35
1635,0.224,0.274,21.4,2.286,0.06,0.34
1636,0.232,0.276,21.4,2.32,0.066,0.34
1637,0.25,0.306,21.4,2.33,0.062,0.342
1638,0.262,0.312,21.4,2.37,0.07,0.348
1639,0.29,0.34,21.4,2.326,0.06,0.346
1640,0.274,0.326,21.4,2.302,0.058,0.36
1641,0.26,0.31,21.4,2.388,0.05,0.376
1642,0.302,0.348,21.4,2.328,0.05,0.396
1643,0.308,0.362,21.404,2.358,0.086,0.392
1644,0.3,0.352,21.498,2.332,0.098,0.38
1645,0.274,0.336,21.5,2.34,0.09,0.402
1646,0.308,0.358,21.5,2.372,0.064,0.412
1647,0.348,0.4,21.5,2.348,0.07,0.408
1648,0.344,0.388,21.5,2.386,0.07,0.4
1649,0.316,0.364,21.5,2.384,0.08,0.428
1650,0.33,0.38,21.5,2.362,0.048,0.458
1651,0.322,0.362,21.542,2.338,0.088,0.448
1652,0.306,0.344,21.528,2.362,0.086,0.43
1653,0.312,0.356,21.524,2.4,0.072,0.44
1654,0.332,0.38,21.5,2.374,0.08,0.426
1655,0.3,0.352,21.5,2.394,0.248,0.414
1656,0.26,0.306,21.516,2.332,0.504,0.428
1657,0.248,0.29,21.5,2.234,0.324,0.44
1658,0.262,0.302,21.5,2.232,0.59,0.412
1659,0.26,0.302,21.458,2.25,0.65,0.376
1660,0.254,0.294,21.402,2.318,0.384,0.352
1661,0.266,0.312,21.4,2.38,0.308,0.36
1662,0.278,0.32,21.4,2.358,0.138,0.368
1663,0.314,0.358,21.41,2.376,0.088,0.362
1664,0.308,0.348,21.466,2.33,0.124,0.378
1665,0.29,0.336,21.5,2.356,0.082,0.394
1666,0.32,0.364,21.5,2.388,0.09,0.42
1667,0.318,0.37,21.5,2.378,0.098,0.408
1668,0.304,0.35,21.51,2.388,0.092,0.4
1669,0.304,0.35,21.594,2.358,0.3,0.424
1670,0.304,0.352,21.608,2.384,0.318,0.432
1671,0.314,0.366,21.608,2.356,0.084,0.424
1672,0.332,0.388,21.606,2.346,0.074,0.42
