ID,050A02,050A01,050A07,050A09,050A11,050A08
2049,0.292,0.34,21.2,2.366,0.088,0.4
2050,0.3,0.334,21.2,2.34,0.054,0.4
2051,0.298,0.336,21.2,2.39,0.062,0.404
2052,0.284,0.326,21.2,2.386,0.074,0.408
2053,0.282,0.324,21.202,2.388,0.048,0.4
2054,0.308,0.346,21.204,2.368,0.062,0.4
2055,0.292,0.34,21.252,2.356,0.058,0.39
2056,0.288,0.33,21.22,2.242,0.074,0.392
2057,0.276,0.314,21.2,2.292,0.044,0.4
2058,0.298,0.332,21.2,2.358,0.014,0.4
2059,0.308,0.346,21.21,2.412,0.034,0.4
2060,0.326,0.368,21.296,2.364,0.072,0.394
2061,0.336,0.388,21.3,2.402,0.084,0.414
2062,0.338,0.388,21.3,2.372,0.092,0.428
2063,0.332,0.376,21.3,2.362,0.208,0.442
2064,0.332,0.372,21.308,2.368,0.274,0.46
2065,0.328,0.378,21.344,2.382,0.316,0.46
2066,0.314,0.356,21.4,2.37,0.362,0.452
2067,0.302,0.346,21.394,2.378,0.45,0.45
2068,0.306,0.344,21.4,2.35,0.364,0.446
2069,0.308,0.348,21.4,2.39,0.302,0.434
2070,0.318,0.36,21.4,2.394,0.242,0.422
2071,0.33,0.372,21.4,2.382,0.196,0.42
2072,0.328,0.37,21.4,2.396,0.09,0.422
2073,0.32,0.368,21.4,2.366,0.072,0.436
2074,0.314,0.354,21.4,2.368,0.068,0.44
2075,0.31,0.354,21.4,2.406,0.076,0.448
2076,0.32,0.37,21.4,2.378,0.144,0.442
2077,0.322,0.372,21.4,2.416,0.1,0.43
2078,0.334,0.374,21.4,2.396,0.07,0.432
2079,0.352,0.394,21.4,2.418,0.124,0.44
2080,0.342,0.392,21.4,2.41,0.074,0.44
2081,0.348,0.394,21.4,2.412,0.074,0.454
2082,0.362,0.402,21.4,2.36,0.11,0.47
2083,0.372,0.41,21.404,2.348,0.076,0.47
2084,0.364,0.41,21.45,2.368,0.084,0.47
2085,0.374,0.418,21.5,2.35,0.072,0.474
2086,0.348,0.402,21.5,2.378,0.074,0.488
2087,0.362,0.412,21.5,2.378,0.076,0.49
2088,0.35,0.404,21.5,2.368,0.094,0.496
2089,0.324,0.376,21.5,2.342,0.09,0.47
2090,0.322,0.366,21.44,2.288,0.204,0.47
2091,0.31,0.36,21.4,2.266,0.27,0.458
2092,0.32,0.358,21.4,2.292,0.09,0.44
2093,0.316,0.35,21.4,2.308,0.084,0.432
2094,0.322,0.364,21.4,2.384,0.08,0.424
2095,0.3,0.344,21.4,2.36,0.06,0.42
2096,0.302,0.354,21.4,2.398,0.076,0.42
2097,0.292,0.336,21.4,2.384,0.08,0.43
2098,0.31,0.35,21.4,2.38,0.078,0.426
2099,0.29,0.344,21.4,2.352,0.074,0.42
2100,0.278,0.334,21.4,2.302,0.078,0.408
2101,0.274,0.338,21.4,2.286,0.098,0.452
2102,0.266,0.326,21.4,2.304,0.088,0.518
2103,0.26,0.31,21.348,2.292,0.092,0.52
2104,0.26,0.306,21.302,2.28,0.086,0.52
2105,0.26,0.31,21.3,2.274,0.066,0.52
2106,0.26,0.302,21.3,2.25,0.074,0.52
2107,0.258,0.3,21.3,2.262,0.088,0.518
2108,0.252,0.3,21.226,2.26,0.068,0.51
2109,0.25,0.294,21.202,2.276,0.076,0.506
2110,0.252,0.296,21.2,2.268,0.078,0.5
2111,0.26,0.302,21.2,2.272,0.08,0.5
2112,0.268,0.31,21.2,2.318,0.076,0.494
2113,0.26,0.302,21.2,2.358,0.088,0.498
2114,0.26,0.312,21.2,2.272,0.068,0.492
2115,0.252,0.306,21.2,1.97,0.068,0.476
2116,0.256,0.306,21.2,1.89,0.086,0.484
2117,0.258,0.3,21.2,1.876,0.092,0.494
2118,0.252,0.298,21.2,1.896,0.092,0.484
2119,0.25,0.29,21.2,1.89,0.094,0.482
2120,0.246,0.282,21.2,1.878,0.092,0.48
2121,0.236,0.294,21.2,1.89,0.084,0.476
2122,0.232,0.288,21.2,1.938,0.084,0.458
2123,0.22,0.272,21.2,1.876,0.084,0.442
2124,0.23,0.272,21.2,1.9,0.082,0.44
2125,0.232,0.274,21.172,1.892,0.098,0.44
2126,0.234,0.276,21.11,1.902,0.086,0.44
2127,0.24,0.272,21.1,1.888,0.082,0.44
2128,0.234,0.27,21.1,1.93,0.088,0.432
2129,0.24,0.282,21.1,1.872,0.126,0.424
2130,0.23,0.276,21.1,1.92,0.096,0.42
2131,0.228,0.27,21.1,1.89,0.096,0.42
2132,0.222,0.266,21.1,1.89,0.098,0.43
2133,0.24,0.274,21.094,1.898,0.094,0.43
2134,0.248,0.276,21.09,1.89,0.164,0.43
2135,0.252,0.282,21.058,1.958,0.32,0.44
2136,0.246,0.284,21,1.902,0.33,0.438
2137,0.232,0.272,21,1.926,0.188,0.43
2138,0.234,0.256,21,1.896,0.126,0.43
2139,0.212,0.258,21,1.918,0.08,0.43
2140,0.22,0.252,21,1.892,0.092,0.43
2141,0.21,0.254,21,1.886,0.1,0.43
2142,0.214,0.24,21,1.902,0.092,0.426
2143,0.212,0.248,21,1.914,0.178,0.42
2144,0.21,0.248,21,1.912,0.208,0.418
2145,0.206,0.24,21,1.922,0.078,0.402
2146,0.202,0.256,21,1.922,0.078,0.402
2147,0.208,0.26,21,1.914,0.07,0.42
2148,0.208,0.26,21,1.908,0.086,0.41
2149,0.236,0.278,21,1.948,0.078,0.41
2150,0.21,0.264,21,1.904,0.088,0.406
2151,0.204,0.26,21,1.918,0.082,0.412
2152,0.206,0.26,21,1.912,0.084,0.448
2153,0.204,0.26,21,1.914,0.082,0.418
2154,0.202,0.26,20.974,1.932,0.092,0.4
2155,0.208,0.254,20.904,1.942,0.076,0.4
2156,0.212,0.256,20.9,1.914,0.082,0.396
2157,0.228,0.26,20.9,1.904,0.086,0.39
2158,0.256,0.284,20.9,1.946,0.078,0.39
2159,0.24,0.294,20.9,1.942,0.096,0.39
2160,0.24,0.32,20.892,1.972,0.19,0.41
2161,0.24,0.32,20.838,2.044,0.158,0.448
2162,0.24,0.32,20.802,1.94,0.158,0.468
2163,0.236,0.322,20.8,1.978,0.1,0.488
2164,0.22,0.298,20.8,1.978,0.206,0.496
2165,0.222,0.298,20.8,1.952,0.282,0.5
2166,0.22,0.296,20.8,1.99,0.234,0.496
2167,0.212,0.268,20.8,1.984,0.072,0.45
2168,0.2,0.25,20.8,1.93,0.092,0.416
2169,0.2,0.242,20.8,1.932,0.176,0.398
2170,0.2,0.242,20.8,1.908,0.436,0.374
2171,0.2,0.25,20.8,1.882,0.25,0.35
2172,0.2,0.252,20.8,1.894,0.11,0.34
2173,0.2,0.222,20.8,1.878,0.086,0.34
2174,0.202,0.226,20.8,1.908,0.076,0.34
2175,0.194,0.224,20.8,1.918,0.094,0.344
2176,0.19,0.214,20.79,1.89,0.09,0.35
2177,0.196,0.21,20.726,1.894,0.096,0.362
2178,0.2,0.212,20.7,1.904,0.076,0.384
2179,0.202,0.22,20.7,1.966,0.074,0.396
2180,0.208,0.23,20.7,1.974,0.07,0.414
2181,0.246,0.262,20.706,1.998,0.068,0.42
2182,0.256,0.264,20.796,1.96,0.074,0.41
2183,0.274,0.284,20.8,1.996,0.09,0.432
2184,0.278,0.296,20.8,1.996,0.094,0.474
2185,0.266,0.278,20.8,1.966,0.214,0.488
2186,0.268,0.278,20.8,1.978,0.284,0.496
2187,0.278,0.29,20.858,1.992,0.24,0.496
2188,0.278,0.292,20.9,1.978,0.274,0.462
2189,0.266,0.372,20.946,2.002,0.27,0.454
2190,0.276,0.408,21,1.984,0.3,0.456
2191,0.28,0.316,21,2.028,0.254,0.45
2192,0.286,0.318,21,2.018,0.188,0.444
2193,0.286,0.31,21,2.028,0.088,0.46
2194,0.306,0.316,21,2.05,0.094,0.478
2195,0.328,0.342,21,2.038,0.086,0.488
2196,0.312,0.334,21.048,2.032,0.098,0.468
2197,0.322,0.34,21.1,2.036,0.09,0.484
2198,0.32,0.332,21.1,2.026,0.088,0.518
2199,0.304,0.316,21.1,2.04,0.096,0.504
2200,0.302,0.32,21.11,2.058,0.088,0.512
2201,0.342,0.352,21.2,2.04,0.086,0.498
2202,0.332,0.352,21.2,2.04,0.06,0.484
2203,0.344,0.364,21.2,2.032,0.09,0.484
2204,0.356,0.368,21.2,2.012,0.192,0.51
2205,0.366,0.378,21.2,1.99,0.088,0.512
2206,0.398,0.4,21.2,2,0.072,0.52
2207,0.344,0.374,21.2,1.966,0.09,0.526
2208,0.314,0.36,21.2,1.922,0.096,0.54
2209,0.306,0.36,21.2,1.902,0.096,0.56
2210,0.314,0.358,21.166,1.924,0.094,0.54
2211,0.312,0.358,21.1,1.958,0.088,0.52
2212,0.344,0.4,21.1,2.04,0.088,0.51
2213,0.352,0.4,21.158,2.004,0.088,0.5
2214,0.354,0.424,21.104,1.92,0.072,0.506
2215,0.398,0.452,21.1,1.934,0.054,0.538
2216,0.324,0.388,21.1,1.926,0.066,0.55
2217,0.286,0.368,21.1,1.932,0.068,0.554
2218,0.278,0.352,21.048,1.91,0.062,0.548
2219,0.278,0.35,21,1.93,0.066,0.528
2220,0.278,0.354,21,1.928,0.074,0.52
2221,0.272,0.346,21,1.914,0.07,0.51
2222,0.272,0.342,21,1.926,0.198,0.508
2223,0.276,0.336,21,1.944,0.31,0.5
2224,0.276,0.332,21,1.92,0.308,0.5
2225,0.288,0.364,21,1.92,0.316,0.5
2226,0.324,0.37,21,1.918,0.258,0.494
2227,0.342,0.354,21,1.98,0.254,0.49
2228,0.328,0.376,20.916,1.904,0.31,0.49
2229,0.324,0.378,20.9,1.882,0.274,0.488
2230,0.336,0.364,20.9,1.898,0.13,0.474
2231,0.308,0.364,20.9,1.874,0.086,0.47
2232,0.306,0.356,20.9,1.892,0.086,0.464
2233,0.32,0.352,20.898,1.892,0.24,0.46
2234,0.316,0.344,20.844,1.918,0.1,0.46
2235,0.322,0.33,20.802,1.898,0.32,0.456
2236,0.252,0.308,20.8,1.902,0.282,0.45
2237,0.256,0.316,20.8,1.918,0.282,0.45
2238,0.262,0.318,20.8,1.9,0.294,0.45
2239,0.266,0.314,20.8,1.932,0.084,0.45
2240,0.294,0.33,20.8,1.998,0.078,0.442
2241,0.25,0.308,20.8,1.992,0.088,0.448
2242,0.23,0.3,20.8,1.952,0.09,0.45
2243,0.232,0.29,20.8,1.916,0.094,0.478
2244,0.232,0.29,20.8,1.902,0.088,0.49
2245,0.22,0.304,20.8,1.88,0.092,0.468
2246,0.218,0.286,20.8,1.882,0.098,0.46
2247,0.214,0.3,20.8,1.902,0.072,0.46
2248,0.218,0.296,20.8,1.888,0.076,0.464
2249,0.218,0.286,20.8,1.912,0.072,0.46
2250,0.228,0.286,20.8,1.902,0.082,0.456
2251,0.24,0.32,20.8,1.926,0.086,0.446
2252,0.242,0.304,20.8,1.896,0.082,0.43
2253,0.234,0.292,20.8,1.916,0.08,0.43
2254,0.226,0.294,20.8,1.924,0.088,0.43
2255,0.22,0.264,20.8,1.904,0.096,0.43
2256,0.224,0.268,20.8,1.89,0.088,0.43
2257,0.222,0.274,20.8,1.912,0.32,0.43
2258,0.216,0.272,20.8,1.888,0.3,0.42
2259,0.236,0.28,20.8,1.866,0.234,0.422
2260,0.244,0.274,20.8,1.878,0.304,0.43
2261,0.26,0.272,20.8,1.842,0.334,0.43
2262,0.278,0.276,20.796,1.86,0.124,0.428
2263,0.258,0.272,20.738,1.818,0.098,0.42
2264,0.262,0.28,20.704,1.808,0.136,0.418
2265,0.294,0.286,20.7,1.822,0.34,0.414
2266,0.336,0.29,20.7,1.852,0.326,0.42
2267,0.334,0.294,20.7,1.884,0.362,0.42
2268,0.334,0.29,20.7,1.882,0.312,0.42
2269,0.334,0.29,20.7,1.866,0.316,0.42
2270,0.344,0.288,20.7,1.868,0.312,0.42
2271,0.33,0.278,20.7,1.81,0.322,0.42
2272,0.332,0.27,20.7,1.788,0.25,0.42
2273,0.35,0.272,20.636,1.804,0.252,0.42
2274,0.332,0.27,20.604,1.814,0.3,0.416
2275,0.292,0.282,20.6,1.81,0.286,0.41
2276,0.306,0.282,20.6,1.802,0.304,0.408
2277,0.32,0.294,20.6,1.788,0.332,0.4
2278,0.276,0.268,20.6,1.794,0.296,0.4
2279,0.282,0.26,20.6,1.86,0.288,0.406
2280,0.28,0.268,20.6,1.828,0.392,0.41
2281,0.296,0.264,20.6,1.866,0.344,0.406
2282,0.302,0.268,20.6,1.95,0.356,0.41
2283,0.304,0.27,20.6,1.878,0.404,0.412
2284,0.272,0.262,20.6,1.95,0.464,0.41
2285,0.27,0.26,20.6,1.934,0.328,0.4
2286,0.256,0.252,20.6,1.83,0.408,0.4
2287,0.202,0.234,20.6,1.822,0.668,0.388
2288,0.198,0.23,20.6,1.818,0.802,0.374
2289,0.198,0.23,20.6,1.822,0.48,0.37
2290,0.2,0.234,20.6,1.854,0.512,0.368
2291,0.202,0.236,20.6,1.922,0.65,0.36
2292,0.22,0.252,20.6,1.974,0.622,0.36
2293,0.23,0.272,20.6,1.958,0.346,0.36
2294,0.258,0.302,20.638,1.978,0.336,0.364
2295,0.254,0.3,20.7,1.988,0.362,0.388
2296,0.272,0.316,20.704,1.978,0.27,0.422
2297,0.3,0.316,20.798,1.974,0.276,0.43
2298,0.266,0.286,20.8,1.972,0.278,0.422
2299,0.256,0.28,20.8,1.968,0.132,0.43
2300,0.262,0.296,20.8,1.972,0.088,0.44
2301,0.268,0.304,20.8,1.976,0.094,0.406
2302,0.256,0.296,20.8,1.934,0.088,0.384
2303,0.264,0.294,20.8,1.914,0.096,0.388
2304,0.236,0.268,20.8,1.986,0.082,0.398
2305,0.222,0.258,20.814,1.984,0.086,0.39
2306,0.24,0.264,20.844,2,0.092,0.388
2307,0.254,0.284,20.9,2.008,0.316,0.348
2308,0.254,0.3,20.9,1.99,0.464,0.33
2309,0.222,0.282,20.9,2.026,0.382,0.336
2310,0.234,0.298,20.9,1.904,0.452,0.35
2311,0.226,0.298,20.892,1.894,0.446,0.356
2312,0.222,0.29,20.82,1.888,0.282,0.34
2313,0.228,0.302,20.8,1.896,0.344,0.34
2314,0.27,0.316,20.8,1.9,0.384,0.34
2315,0.28,0.326,20.8,1.874,0.484,0.34
2316,0.238,0.312,20.8,1.866,0.562,0.342
2317,0.222,0.304,20.8,1.898,0.3,0.358
2318,0.218,0.29,20.8,1.904,0.302,0.36
2319,0.21,0.282,20.792,1.988,0.292,0.36
2320,0.232,0.29,20.768,2,0.152,0.354
2321,0.262,0.326,20.8,1.954,0.184,0.34
2322,0.274,0.338,20.8,2.01,0.302,0.34
2323,0.27,0.33,20.8,1.976,0.316,0.356
2324,0.268,0.324,20.874,1.998,0.294,0.384
2325,0.278,0.324,20.9,1.974,0.148,0.396
2326,0.286,0.326,20.908,2.018,0.094,0.398
2327,0.272,0.316,20.998,1.984,0.102,0.394
2328,0.28,0.322,21,2.01,0.094,0.4
2329,0.3,0.334,21,1.958,0.096,0.41
2330,0.29,0.336,21,2.006,0.09,0.402
2331,0.29,0.33,21,2.004,0.078,0.408
2332,0.294,0.332,21,2.018,0.084,0.42
2333,0.308,0.35,21,2.014,0.084,0.42
2334,0.294,0.34,21.038,2.018,0.086,0.408
2335,0.286,0.334,21.1,2.032,0.064,0.418
2336,0.304,0.344,21.1,2.022,0.09,0.428
2337,0.324,0.364,21.102,2.012,0.088,0.418
2338,0.324,0.362,21.102,2.028,0.088,0.408
2339,0.318,0.368,21.11,2.004,0.094,0.428
2340,0.324,0.39,21.144,2.018,0.096,0.446
2341,0.328,0.39,21.2,2.038,0.088,0.45
2342,0.32,0.384,21.2,2.026,0.088,0.45
2343,0.326,0.376,21.2,2.03,0.082,0.452
2344,0.316,0.372,21.2,2.054,0.088,0.454
2345,0.332,0.392,21.2,1.972,0.086,0.44
2346,0.378,0.43,21.2,1.996,0.086,0.448
2347,0.386,0.44,21.2,2.018,0.1,0.44
2348,0.342,0.414,21.222,2.004,0.098,0.462
2349,0.33,0.4,21.208,2.018,0.094,0.496
2350,0.362,0.418,21.2,1.956,0.498,0.506
2351,0.362,0.414,21.2,1.896,0.286,0.48
2352,0.398,0.412,21.2,1.892,0.252,0.47
2353,0.382,0.384,21.17,1.872,0.09,0.496
2354,0.388,0.388,21.1,1.976,0.068,0.486
2355,0.388,0.398,21.136,1.984,0.088,0.482
2356,0.376,0.394,21.2,1.988,0.098,0.468
2357,0.372,0.39,21.2,1.972,0.12,0.46
2358,0.402,0.412,21.2,1.992,0.086,0.454
2359,0.422,0.426,21.204,1.968,0.324,0.45
2360,0.412,0.416,21.254,1.956,0.36,0.448
2361,0.396,0.4,21.3,1.974,0.352,0.466
2362,0.402,0.396,21.3,1.976,0.366,0.486
2363,0.394,0.394,21.3,1.968,0.536,0.474
2364,0.396,0.404,21.288,1.952,0.342,0.458
2365,0.388,0.404,21.292,1.96,0.33,0.458
2366,0.356,0.382,21.3,1.974,0.284,0.454
2367,0.386,0.396,21.296,1.98,0.256,0.462
2368,0.422,0.422,21.296,1.97,0.156,0.472
2369,0.428,0.438,21.3,1.988,0.09,0.456
2370,0.414,0.432,21.3,1.98,0.086,0.46
2371,0.414,0.432,21.3,1.978,0.082,0.48
2372,0.37,0.406,21.3,1.99,0.084,0.49
2373,0.322,0.376,21.3,2.026,0.106,0.498
2374,0.332,0.386,21.304,2.018,0.182,0.496
2375,0.34,0.408,21.308,1.972,0.33,0.462
2376,0.332,0.404,21.302,1.914,0.382,0.44
2377,0.334,0.376,21.298,1.98,0.308,0.444
2378,0.338,0.384,21.28,1.992,0.298,0.466
2379,0.322,0.38,21.3,2.018,0.124,0.462
2380,0.3,0.37,21.3,2.008,0.086,0.442
2381,0.282,0.352,21.3,1.91,0.174,0.456
2382,0.278,0.344,21.3,1.926,0.078,0.44
2383,0.288,0.346,21.244,1.912,0.068,0.426
2384,0.284,0.344,21.2,1.99,0.076,0.406
2385,0.308,0.364,21.2,1.988,0.076,0.412
2386,0.312,0.366,21.224,2.006,0.08,0.406
2387,0.318,0.372,21.218,2.004,0.088,0.402
2388,0.32,0.372,21.3,2.006,0.082,0.418
2389,0.312,0.37,21.3,2.026,0.076,0.42
2390,0.314,0.37,21.3,2.028,0.074,0.426
2391,0.322,0.384,21.3,1.992,0.098,0.43
2392,0.318,0.378,21.392,1.996,0.09,0.42
2393,0.318,0.378,21.4,2.012,0.094,0.424
2394,0.342,0.402,21.4,1.998,0.098,0.43
2395,0.366,0.424,21.4,1.988,0.092,0.43
2396,0.376,0.434,21.4,2.012,0.084,0.432
2397,0.33,0.396,21.4,1.932,0.094,0.454
2398,0.342,0.398,21.4,1.986,0.44,0.48
2399,0.364,0.424,21.4,1.956,0.48,0.484
2400,0.37,0.436,21.4,1.944,0.532,0.456
2401,0.37,0.438,21.4,1.998,0.37,0.458
2402,0.362,0.428,21.4,2.002,0.36,0.476
2403,0.322,0.388,21.4,2.006,0.566,0.49
2404,0.314,0.372,21.4,1.916,0.34,0.494
2405,0.326,0.39,21.4,1.874,0.308,0.478
2406,0.33,0.392,21.4,1.896,0.282,0.446
2407,0.34,0.398,21.4,1.974,0.312,0.43
2408,0.316,0.382,21.4,2.034,0.448,0.436
2409,0.304,0.354,21.4,1.998,0.626,0.44
2410,0.308,0.36,21.4,1.91,0.304,0.446
2411,0.31,0.35,21.4,1.908,0.174,0.43
2412,0.352,0.39,21.342,1.904,0.088,0.418
2413,0.336,0.404,21.3,1.964,0.094,0.426
2414,0.372,0.496,21.3,2.008,0.078,0.454
2415,0.348,0.454,21.358,2.048,0.088,0.516
2416,0.326,0.404,21.4,2.006,0.162,0.57
2417,0.302,0.382,21.4,1.906,0.31,0.584
2418,0.276,0.386,21.374,1.91,0.27,0.554
2419,0.27,0.38,21.32,1.886,0.278,0.526
2420,0.268,0.378,21.3,1.906,0.352,0.52
2421,0.268,0.392,21.3,1.97,0.344,0.52
2422,0.278,0.386,21.294,1.944,0.282,0.52
2423,0.27,0.368,21.226,1.91,0.088,0.52
2424,0.26,0.376,21.2,1.932,0.09,0.52
2425,0.262,0.38,21.2,1.912,0.084,0.52
