ID,050A02,050A01,050A07,050A09,050A11,050A08
2426,0.26,0.374,21.2,1.91,0.084,0.512
2427,0.27,0.364,21.2,1.916,0.1,0.51
2428,0.27,0.356,21.2,1.92,0.084,0.51
2429,0.28,0.344,21.2,1.946,0.094,0.512
2430,0.28,0.342,21.2,1.918,0.094,0.514
2431,0.268,0.328,21.2,1.89,0.074,0.52
2432,0.254,0.314,21.2,1.912,0.082,0.524
2433,0.244,0.31,21.152,1.902,0.08,0.528
2434,0.248,0.31,21.104,1.892,0.09,0.51
2435,0.244,0.31,21.1,1.93,0.086,0.478
2436,0.26,0.314,21.1,1.904,0.092,0.47
2437,0.254,0.312,21.1,1.906,0.082,0.47
2438,0.236,0.304,21.1,1.914,0.096,0.462
2439,0.244,0.328,21.02,1.902,0.096,0.46
2440,0.24,0.318,21.004,1.912,0.214,0.46
2441,0.242,0.314,21,1.906,0.35,0.452
2442,0.244,0.318,21,1.962,0.336,0.458
2443,0.254,0.326,21,1.98,0.314,0.454
2444,0.264,0.34,21,2.02,0.36,0.43
2445,0.284,0.346,21,2.022,0.362,0.4
2446,0.3,0.35,21.046,2.028,0.292,0.406
2447,0.328,0.334,21.1,2.012,0.238,0.426
2448,0.288,0.322,21.1,2.032,0.236,0.438
2449,0.274,0.336,21.148,2.008,0.262,0.458
2450,0.266,0.34,21.2,2.022,0.132,0.446
2451,0.28,0.338,21.2,1.986,0.082,0.43
2452,0.298,0.344,21.2,2.004,0.086,0.43
2453,0.31,0.356,21.2,2.016,0.094,0.43
2454,0.324,0.366,21.2,2.008,0.098,0.426
2455,0.308,0.356,21.22,2.006,0.096,0.43
2456,0.308,0.356,21.206,2.03,0.128,0.43
2457,0.312,0.356,21.238,2.046,0.376,0.44
2458,0.306,0.348,21.298,2.052,0.408,0.44
2459,0.322,0.36,21.3,2.032,0.348,0.44
2460,0.306,0.348,21.3,1.962,0.336,0.434
2461,0.288,0.336,21.3,1.976,0.324,0.43
2462,0.286,0.328,21.3,2.026,0.374,0.43
2463,0.284,0.334,21.3,2.002,0.1,0.42
2464,0.296,0.34,21.304,2.01,0.172,0.416
2465,0.308,0.348,21.34,2.028,0.148,0.414
2466,0.308,0.35,21.4,2.014,0.076,0.42
2467,0.302,0.344,21.4,2.002,0.102,0.42
2468,0.286,0.336,21.4,1.988,0.264,0.43
2469,0.306,0.35,21.4,1.998,0.292,0.43
2470,0.296,0.346,21.4,1.964,0.328,0.422
2471,0.308,0.352,21.4,1.938,0.29,0.416
2472,0.31,0.366,21.4,1.988,0.324,0.426
2473,0.316,0.364,21.4,1.956,0.302,0.428
2474,0.314,0.358,21.4,1.964,0.24,0.434
2475,0.32,0.366,21.4,1.988,0.082,0.43
2476,0.32,0.364,21.4,2.002,0.082,0.428
2477,0.316,0.358,21.4,2.002,0.086,0.42
2478,0.306,0.342,21.4,1.99,0.094,0.43
2479,0.304,0.344,21.4,1.996,0.088,0.428
2480,0.31,0.35,21.4,2.014,0.09,0.418
2481,0.302,0.342,21.4,2.01,0.088,0.404
2482,0.3,0.34,21.402,2.002,0.122,0.404
2483,0.312,0.352,21.4,1.998,0.148,0.408
2484,0.316,0.358,21.474,1.976,0.222,0.4
2485,0.336,0.382,21.5,1.988,0.112,0.4
2486,0.358,0.404,21.5,1.968,0.088,0.416
2487,0.33,0.38,21.5,1.992,0.096,0.422
2488,0.33,0.376,21.5,1.946,0.094,0.442
2489,0.356,0.406,21.5,1.974,0.152,0.456
2490,0.362,0.414,21.5,1.958,0.064,0.436
2491,0.326,0.378,21.5,1.954,0.086,0.434
2492,0.324,0.366,21.562,1.938,0.096,0.456
2493,0.32,0.362,21.6,1.918,0.336,0.468
2494,0.31,0.35,21.502,1.906,0.65,0.436
2495,0.342,0.376,21.5,1.878,0.624,0.42
2496,0.366,0.404,21.526,1.962,0.472,0.42
2497,0.374,0.41,21.588,1.962,0.558,0.422
2498,0.4,0.448,21.6,1.984,0.642,0.442
2499,0.386,0.432,21.6,1.96,0.522,0.46
2500,0.388,0.426,21.606,1.96,0.444,0.482
2501,0.358,0.394,21.644,1.968,0.354,0.51
2502,0.348,0.4,21.7,1.942,0.486,0.504
2503,0.342,0.396,21.7,1.946,0.32,0.496
2504,0.338,0.388,21.652,1.874,0.304,0.468
2505,0.34,0.388,21.6,1.886,0.478,0.46
2506,0.336,0.386,21.566,1.868,0.336,0.454
2507,0.334,0.374,21.502,1.886,0.31,0.458
2508,0.348,0.374,21.5,1.87,0.328,0.46
2509,0.338,0.356,21.5,1.872,0.276,0.464
2510,0.332,0.362,21.422,1.868,0.216,0.472
2511,0.316,0.354,21.4,1.872,0.234,0.486
2512,0.316,0.356,21.4,1.882,0.112,0.476
2513,0.33,0.36,21.4,1.862,0.09,0.462
2514,0.3,0.326,21.4,1.848,0.078,0.452
2515,0.312,0.326,21.4,1.96,0.08,0.454
2516,0.348,0.36,21.4,1.928,0.07,0.456
2517,0.33,0.356,21.4,1.954,0.072,0.43
2518,0.322,0.358,21.4,1.95,0.078,0.422
2519,0.33,0.356,21.462,1.95,0.222,0.442
2520,0.36,0.384,21.5,1.952,0.324,0.434
2521,0.358,0.388,21.5,1.982,0.276,0.422
2522,0.326,0.36,21.5,1.968,0.318,0.43
2523,0.322,0.358,21.5,1.942,0.266,0.452
2524,0.334,0.366,21.5,1.956,0.258,0.454
2525,0.37,0.394,21.5,1.97,0.28,0.434
2526,0.382,0.412,21.506,1.94,0.302,0.43
2527,0.362,0.394,21.556,1.952,0.284,0.436
2528,0.374,0.408,21.6,1.98,0.292,0.462
2529,0.364,0.402,21.6,1.972,0.288,0.472
2530,0.352,0.392,21.608,1.976,0.282,0.464
2531,0.348,0.39,21.642,1.956,0.25,0.47
2532,0.346,0.39,21.7,1.958,0.146,0.468
2533,0.356,0.39,21.7,1.972,0.084,0.454
2534,0.342,0.378,21.7,1.97,0.086,0.45
2535,0.336,0.37,21.7,1.958,0.212,0.456
2536,0.37,0.404,21.7,1.988,0.292,0.452
2537,0.362,0.396,21.7,1.968,0.288,0.44
2538,0.356,0.386,21.7,1.996,0.314,0.44
2539,0.35,0.382,21.7,1.978,0.348,0.466
2540,0.34,0.378,21.706,1.95,0.244,0.464
2541,0.366,0.394,21.704,1.922,0.238,0.452
2542,0.364,0.398,21.702,1.926,0.212,0.442
2543,0.362,0.394,21.778,1.948,0.09,0.44
2544,0.372,0.402,21.798,1.94,0.092,0.45
2545,0.364,0.408,21.8,1.954,0.096,0.46
2546,0.38,0.42,21.8,1.952,0.126,0.46
2547,0.36,0.4,21.8,1.964,0.156,0.47
2548,0.372,0.396,21.8,1.962,0.086,0.47
2549,0.358,0.392,21.8,1.962,0.068,0.472
2550,0.342,0.376,21.8,1.966,0.082,0.46
2551,0.362,0.394,21.8,1.978,0.08,0.46
2552,0.36,0.396,21.8,1.962,0.078,0.448
2553,0.368,0.4,21.804,1.968,0.062,0.44
2554,0.38,0.4,21.8,1.972,0.05,0.454
2555,0.388,0.418,21.818,1.988,0.044,0.46
2556,0.368,0.396,21.9,1.972,0.076,0.46
2557,0.364,0.39,21.888,1.964,0.082,0.464
2558,0.398,0.43,21.84,1.974,0.082,0.468
2559,0.394,0.428,21.824,1.99,0.078,0.458
2560,0.394,0.426,21.848,1.988,0.084,0.458
2561,0.376,0.406,21.89,1.994,0.09,0.49
2562,0.366,0.404,21.82,1.968,0.302,0.492
2563,0.372,0.418,21.812,1.988,0.246,0.486
2564,0.356,0.406,21.87,1.998,0.084,0.472
2565,0.34,0.388,21.834,1.986,0.092,0.464
2566,0.346,0.394,21.9,1.98,0.088,0.468
2567,0.334,0.38,21.9,1.984,0.09,0.458
2568,0.336,0.378,21.898,1.882,0.084,0.448
2569,0.33,0.378,21.806,1.88,0.092,0.442
2570,0.326,0.368,21.8,1.856,0.092,0.434
2571,0.308,0.344,21.758,1.87,0.074,0.43
2572,0.324,0.356,21.702,1.944,0.074,0.42
2573,0.342,0.386,21.704,1.946,0.054,0.42
2574,0.332,0.37,21.764,1.95,0.062,0.412
2575,0.336,0.378,21.8,1.93,0.044,0.42
2576,0.32,0.352,21.8,1.904,0.052,0.438
2577,0.308,0.342,21.8,1.876,0.058,0.43
2578,0.304,0.338,21.724,1.97,0.046,0.424
2579,0.32,0.356,21.72,1.976,0.044,0.402
2580,0.346,0.372,21.788,1.964,0.062,0.396
2581,0.352,0.388,21.8,1.982,0.064,0.396
2582,0.366,0.4,21.8,1.966,0.088,0.42
2583,0.356,0.392,21.8,1.99,0.078,0.442
2584,0.354,0.39,21.804,1.99,0.082,0.462
2585,0.342,0.386,21.878,1.988,0.074,0.47
2586,0.344,0.386,21.9,2.012,0.1,0.462
2587,0.356,0.396,21.9,1.976,0.066,0.458
2588,0.324,0.37,21.9,1.952,0.076,0.444
2589,0.318,0.356,21.9,2,0.08,0.448
2590,0.318,0.356,21.9,2.012,0.064,0.454
2591,0.31,0.35,21.9,1.984,0.072,0.432
2592,0.304,0.344,21.9,1.932,0.048,0.422
2593,0.328,0.372,21.9,1.886,0.064,0.42
2594,0.334,0.382,21.9,1.888,0.042,0.416
2595,0.334,0.386,21.874,1.942,0.022,0.41
2596,0.342,0.384,21.81,1.986,0.048,0.424
2597,0.342,0.392,21.892,1.988,0.078,0.43
2598,0.342,0.394,21.9,2.004,0.078,0.43
2599,0.36,0.402,21.9,2.034,0.07,0.438
2600,0.332,0.382,21.9,1.986,0.092,0.44
2601,0.334,0.384,21.9,2.032,0.246,0.446
2602,0.362,0.404,21.9,2.03,0.274,0.454
2603,0.366,0.408,21.9,2.018,0.208,0.44
2604,0.368,0.412,21.9,1.988,0.134,0.438
2605,0.386,0.436,21.9,2.014,0.078,0.458
2606,0.404,0.456,21.9,2.026,0.216,0.47
2607,0.402,0.456,21.9,2.01,0.1,0.474
2608,0.374,0.424,21.908,1.996,0.068,0.492
2609,0.382,0.434,21.976,2.008,0.056,0.516
2610,0.394,0.448,21.994,2.002,0.048,0.518
2611,0.374,0.422,21.966,1.97,0.052,0.494
2612,0.366,0.412,21.9,1.902,0.088,0.496
2613,0.352,0.396,21.9,1.896,0.07,0.496
2614,0.338,0.386,21.9,1.89,0.056,0.47
2615,0.33,0.37,21.9,1.876,0.06,0.458
2616,0.326,0.368,21.836,1.876,0.04,0.442
2617,0.342,0.384,21.8,2.002,0.05,0.44
2618,0.334,0.378,21.8,2.004,0.038,0.43
2619,0.332,0.374,21.834,1.996,0.066,0.43
2620,0.33,0.37,21.9,1.922,0.048,0.436
2621,0.326,0.368,21.848,1.826,0.066,0.434
2622,0.314,0.352,21.8,1.876,0.068,0.43
2623,0.316,0.354,21.8,1.88,0.056,0.43
2624,0.312,0.35,21.788,1.892,0.06,0.428
2625,0.31,0.342,21.7,1.872,0.076,0.42
2626,0.302,0.34,21.7,1.87,0.072,0.42
2627,0.306,0.344,21.7,1.972,0.066,0.42
2628,0.32,0.356,21.7,1.978,0.078,0.408
2629,0.334,0.372,21.7,1.996,0.078,0.4
2630,0.346,0.386,21.7,2.036,0.098,0.406
2631,0.346,0.392,21.768,2.002,0.094,0.424
2632,0.346,0.388,21.8,1.972,0.084,0.442
2633,0.342,0.386,21.8,2,0.082,0.46
2634,0.336,0.378,21.8,1.982,0.076,0.466
2635,0.338,0.38,21.8,1.97,0.094,0.46
2636,0.336,0.382,21.8,2.002,0.076,0.448
2637,0.354,0.39,21.83,1.99,0.082,0.446
2638,0.366,0.4,21.882,1.99,0.076,0.45
2639,0.356,0.392,21.9,2.006,0.076,0.454
2640,0.354,0.392,21.9,1.998,0.092,0.464
2641,0.344,0.384,21.9,2.002,0.098,0.47
2642,0.342,0.382,21.9,1.994,0.134,0.46
2643,0.354,0.398,21.9,2.036,0.086,0.46
2644,0.374,0.41,21.9,1.984,0.092,0.454
2645,0.37,0.412,21.9,2.012,0.088,0.454
2646,0.344,0.386,21.9,1.992,0.1,0.46
2647,0.352,0.392,21.9,1.998,0.084,0.48
2648,0.346,0.388,21.972,2.006,0.07,0.474
2649,0.358,0.398,22,2.01,0.084,0.452
2650,0.35,0.392,22,1.978,0.076,0.452
2651,0.348,0.39,21.944,1.992,0.074,0.452
2652,0.334,0.376,21.992,1.998,0.078,0.458
2653,0.332,0.372,22,1.976,0.09,0.45
2654,0.334,0.374,22,2.016,0.078,0.45
2655,0.32,0.354,22,1.988,0.096,0.434
2656,0.32,0.35,22,2.018,0.088,0.43
2657,0.344,0.38,22,1.988,0.092,0.428
2658,0.364,0.406,22,1.98,0.24,0.42
2659,0.358,0.398,22.016,1.988,0.09,0.42
2660,0.34,0.388,22.074,1.984,0.078,0.446
2661,0.388,0.432,22.1,1.976,0.096,0.47
2662,0.386,0.434,22.1,1.994,0.082,0.466
2663,0.392,0.434,22.1,1.996,0.09,0.462
2664,0.396,0.446,22.1,1.996,0.038,0.494
2665,0.396,0.442,22.1,1.984,0.072,0.5
2666,0.376,0.42,22.1,1.978,0.048,0.506
2667,0.38,0.422,22.1,1.98,0.048,0.512
2668,0.37,0.414,22.1,1.99,0.052,0.506
2669,0.368,0.406,22.1,1.966,0.06,0.48
2670,0.35,0.394,22.1,1.956,0.058,0.47
2671,0.342,0.392,22.1,1.986,0.054,0.46
2672,0.358,0.404,22.1,1.986,0.076,0.442
2673,0.348,0.394,22.1,1.992,0.074,0.438
2674,0.35,0.396,22.1,1.984,0.09,0.438
2675,0.332,0.38,22.1,1.978,0.088,0.458
2676,0.332,0.376,22.1,2,0.082,0.45
2677,0.356,0.394,22.1,1.986,0.092,0.44
2678,0.348,0.392,22.1,1.998,0.096,0.44
2679,0.362,0.396,22.1,2.01,0.118,0.44
2680,0.374,0.416,22.1,2.008,0.28,0.458
2681,0.38,0.42,22.1,1.988,0.21,0.456
2682,0.396,0.44,22.1,1.992,0.098,0.464
2683,0.38,0.422,22.1,1.974,0.088,0.47
2684,0.374,0.42,22.1,1.978,0.07,0.49
2685,0.366,0.406,22.1,1.96,0.078,0.5
2686,0.366,0.402,22.1,1.946,0.076,0.49
2687,0.38,0.42,22.1,1.974,0.08,0.474
2688,0.38,0.428,22.1,1.984,0.086,0.464
2689,0.366,0.41,22.1,2.014,0.076,0.466
2690,0.38,0.42,22.1,1.994,0.066,0.476
2691,0.364,0.41,22.1,2.022,0.08,0.476
2692,0.374,0.418,22.1,2.008,0.166,0.47
2693,0.41,0.464,22.1,2.008,0.142,0.47
2694,0.386,0.436,22.1,1.994,0.092,0.46
2695,0.378,0.426,22.1,2.034,0.1,0.476
2696,0.38,0.428,22.1,1.996,0.092,0.506
2697,0.398,0.45,22.1,1.99,0.08,0.494
2698,0.394,0.456,22.1,2.012,0.066,0.482
2699,0.402,0.466,22.1,1.972,0.048,0.488
2700,0.38,0.44,22.1,1.974,0.052,0.5
2701,0.372,0.436,22.1,1.894,0.056,0.502
2702,0.388,0.482,22.1,1.934,0.064,0.502
2703,0.404,0.508,22.1,1.922,0.066,0.488
2704,0.394,0.51,22.046,1.924,0.048,0.486
2705,0.408,0.498,22,1.914,0.066,0.522
2706,0.41,0.494,22,1.918,0.08,0.532
2707,0.406,0.516,21.934,1.932,0.08,0.54
2708,0.396,0.502,21.9,1.956,0.054,0.546
2709,0.39,0.5,21.9,1.966,0.064,0.55
2710,0.38,0.51,21.9,1.944,0.09,0.55
2711,0.372,0.488,21.9,1.938,0.086,0.55
2712,0.378,0.494,21.9,1.956,0.1,0.55
2713,0.37,0.466,21.9,1.962,0.09,0.538
2714,0.368,0.468,21.9,1.936,0.09,0.53
2715,0.352,0.452,21.9,1.916,0.266,0.53
2716,0.352,0.46,21.828,1.948,0.24,0.524
2717,0.362,0.454,21.802,1.922,0.264,0.518
2718,0.37,0.448,21.8,1.946,0.248,0.498
2719,0.358,0.446,21.8,1.914,0.142,0.49
2720,0.314,0.372,21.8,1.912,0.088,0.49
2721,0.308,0.36,21.764,1.89,0.092,0.492
2722,0.298,0.346,21.704,1.896,0.334,0.47
2723,0.296,0.35,21.7,1.878,0.478,0.424
2724,0.292,0.342,21.7,1.838,0.284,0.404
2725,0.282,0.34,21.7,1.84,0.276,0.4
2726,0.29,0.338,21.7,1.882,0.284,0.392
2727,0.284,0.328,21.7,1.886,0.278,0.39
2728,0.282,0.328,21.7,1.876,0.15,0.39
2729,0.282,0.32,21.7,1.89,0.254,0.39
2730,0.28,0.32,21.7,1.93,0.164,0.39
2731,0.284,0.32,21.618,1.902,0.092,0.388
2732,0.28,0.32,21.6,1.812,0.082,0.38
2733,0.28,0.32,21.6,1.834,0.082,0.38
2734,0.288,0.322,21.558,1.876,0.212,0.38
2735,0.3,0.344,21.502,1.932,0.222,0.38
2736,0.312,0.35,21.548,1.934,0.082,0.38
2737,0.306,0.34,21.6,1.92,0.084,0.384
2738,0.322,0.356,21.6,1.932,0.082,0.394
2739,0.316,0.352,21.644,1.95,0.09,0.404
2740,0.324,0.36,21.7,1.98,0.314,0.4
2741,0.316,0.358,21.7,1.954,0.122,0.416
2742,0.322,0.362,21.7,1.928,0.09,0.414
2743,0.326,0.356,21.7,1.934,0.092,0.42
2744,0.342,0.372,21.7,1.958,0.134,0.42
2745,0.34,0.384,21.7,1.944,0.098,0.42
2746,0.352,0.39,21.7,1.942,0.078,0.42
2747,0.364,0.408,21.7,1.956,0.106,0.434
2748,0.364,0.412,21.726,1.948,0.338,0.442
2749,0.362,0.406,21.8,1.948,0.338,0.458
2750,0.378,0.42,21.8,1.936,0.344,0.47
2751,0.392,0.436,21.8,1.93,0.33,0.47
2752,0.366,0.418,21.806,1.948,0.506,0.47
2753,0.34,0.388,21.882,1.95,0.412,0.49
2754,0.344,0.39,21.9,1.942,0.288,0.5
2755,0.378,0.414,21.9,1.92,0.138,0.484
2756,0.376,0.42,21.9,1.93,0.078,0.46
2757,0.35,0.394,21.9,1.938,0.072,0.454
2758,0.346,0.394,21.9,1.934,0.072,0.476
2759,0.338,0.388,21.9,1.924,0.076,0.48
2760,0.33,0.378,21.9,1.91,0.076,0.462
2761,0.326,0.372,21.9,1.894,0.22,0.446
2762,0.35,0.384,21.9,1.922,0.326,0.44
2763,0.364,0.39,21.9,1.916,0.238,0.44
2764,0.346,0.372,21.9,1.912,0.074,0.434
2765,0.34,0.366,21.9,1.912,0.066,0.44
2766,0.336,0.364,21.9,1.914,0.074,0.444
2767,0.342,0.36,21.9,1.892,0.072,0.432
2768,0.352,0.374,21.9,1.924,0.094,0.42
2769,0.334,0.344,21.9,1.944,0.086,0.42
2770,0.336,0.34,21.9,1.94,0.078,0.426
2771,0.308,0.328,21.9,1.93,0.072,0.43
2772,0.33,0.35,21.9,1.952,0.094,0.41
2773,0.378,0.396,21.9,1.956,0.1,0.4
2774,0.378,0.4,21.9,1.96,0.082,0.402
2775,0.398,0.424,21.9,1.936,0.082,0.426
2776,0.392,0.42,21.9,1.94,0.08,0.464
2777,0.386,0.414,21.9,1.946,0.074,0.476
2778,0.414,0.428,21.9,1.97,0.1,0.496
2779,0.394,0.42,21.9,1.972,0.1,0.49
2780,0.402,0.426,21.9,1.952,0.092,0.49
2781,0.41,0.436,21.918,1.926,0.222,0.5
2782,0.42,0.464,22,1.916,0.3,0.5
2783,0.386,0.432,21.982,1.838,0.29,0.496
2784,0.374,0.422,21.9,1.838,0.274,0.51
2785,0.364,0.408,21.9,1.854,0.27,0.52
2786,0.366,0.41,21.9,1.944,0.076,0.5
2787,0.372,0.422,21.9,1.96,0.068,0.486
2788,0.368,0.418,21.9,1.952,0.072,0.474
2789,0.378,0.426,21.9,1.946,0.066,0.476
2790,0.392,0.444,21.9,1.918,0.06,0.494
2791,0.38,0.428,21.906,1.948,0.068,0.49
2792,0.404,0.45,21.97,1.94,0.086,0.492
2793,0.388,0.436,21.998,1.942,0.092,0.5
2794,0.382,0.426,22,1.936,0.308,0.494
2795,0.402,0.452,22.012,1.942,0.246,0.512
2796,0.38,0.422,22.086,1.912,0.094,0.504
2797,0.368,0.408,22.026,1.926,0.086,0.502
2798,0.37,0.406,22,1.916,0.084,0.518
2799,0.362,0.4,22,1.944,0.076,0.496
2800,0.352,0.396,22,1.944,0.074,0.482
